Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GR","Rice Cultivation","004","Afghanistan","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","208000","A","Official figure",""
"GR","Rice Cultivation","004","Afghanistan","7225","Emissions (CH4)","0113","Rice","2010","2010","3050","FAO TIER 1","kilotonnes","29.12","E","Estimated value",""
"GR","Rice Cultivation","004","Afghanistan","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","147555","A","Official figure",""
"GR","Rice Cultivation","004","Afghanistan","7225","Emissions (CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kilotonnes","20.6577","E","Estimated value",""
"GR","Rice Cultivation","031","Azerbaijan","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","1640","A","Official figure",""
"GR","Rice Cultivation","031","Azerbaijan","7225","Emissions (CH4)","0113","Rice","2010","2010","3050","FAO TIER 1","kilotonnes","0.4592","E","Estimated value",""
"GR","Rice Cultivation","031","Azerbaijan","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","3001","A","Official figure",""
"GR","Rice Cultivation","031","Azerbaijan","7225","Emissions (CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kilotonnes","0.8403","E","Estimated value",""
"GR","Rice Cultivation","050","Bangladesh","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","11529000","A","Official figure",""
"GR","Rice Cultivation","050","Bangladesh","7225","Emissions (CH4)","0113","Rice","2010","2010","3050","FAO TIER 1","kilotonnes","1145.9826","E","Estimated value",""
"GR","Rice Cultivation","050","Bangladesh","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","11417745","A","Official figure",""
"GR","Rice Cultivation","050","Bangladesh","7225","Emissions (CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kilotonnes","1134.9239","E","Estimated value",""
"GR","Rice Cultivation","064","Bhutan","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","22815","A","Official figure",""
"GR","Rice Cultivation","064","Bhutan","7225","Emissions (CH4)","0113","Rice","2010","2010","3050","FAO TIER 1","kilotonnes","2.6256","E","Estimated value",""
"GR","Rice Cultivation","064","Bhutan","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","12684","A","Official figure",""
"GR","Rice Cultivation","064","Bhutan","7225","Emissions (CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kilotonnes","1.4597","E","Estimated value",""
"GR","Rice Cultivation","096","Brunei Darussalam","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","1848","A","Official figure",""
"GR","Rice Cultivation","096","Brunei Darussalam","7225","Emissions (CH4)","0113","Rice","2010","2010","3050","FAO TIER 1","kilotonnes","0.3209","E","Estimated value",""
"GR","Rice Cultivation","096","Brunei Darussalam","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","853","A","Official figure",""
"GR","Rice Cultivation","096","Brunei Darussalam","7225","Emissions (CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kilotonnes","0.1481","E","Estimated value",""
"GR","Rice Cultivation","116","Cambodia","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","2776507","A","Official figure",""
"GR","Rice Cultivation","116","Cambodia","7225","Emissions (CH4)","0113","Rice","2010","2010","3050","FAO TIER 1","kilotonnes","433.2961","E","Estimated value",""
"GR","Rice Cultivation","116","Cambodia","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","2917391","I","Imputed value",""
"GR","Rice Cultivation","116","Cambodia","7225","Emissions (CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kilotonnes","455.2822","E","Estimated value",""
"GR","Rice Cultivation","344","China, Hong Kong SAR","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","0","I","Imputed value",""
"GR","Rice Cultivation","344","China, Hong Kong SAR","7225","Emissions (CH4)","0113","Rice","2010","2010","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
