Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GR","Emissions from Rice cultivation","096","Brunei Darussalam","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","1848","A","Official figure",""
"GR","Emissions from Rice cultivation","096","Brunei Darussalam","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","853","A","Official figure",""
"GR","Emissions from Rice cultivation","116","Cambodia","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","2776507","A","Official figure",""
"GR","Emissions from Rice cultivation","116","Cambodia","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","2917391","I","Imputed value",""
"GR","Emissions from Rice cultivation","360","Indonesia","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","11797000","E","Estimated value",""
"GR","Emissions from Rice cultivation","360","Indonesia","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","10657275","A","Official figure",""
"GR","Emissions from Rice cultivation","418","Lao People's Democratic Republic","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","855114","A","Official figure",""
"GR","Emissions from Rice cultivation","418","Lao People's Democratic Republic","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","821188","I","Imputed value",""
"GR","Emissions from Rice cultivation","458","Malaysia","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","677884","A","Official figure",""
"GR","Emissions from Rice cultivation","458","Malaysia","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","645511","A","Official figure",""
"GR","Emissions from Rice cultivation","104","Myanmar","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","8011164","A","Official figure",""
"GR","Emissions from Rice cultivation","104","Myanmar","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","6655811","I","Imputed value",""
"GR","Emissions from Rice cultivation","608","Philippines","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","4354161","A","Official figure",""
"GR","Emissions from Rice cultivation","608","Philippines","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","4718896","A","Official figure",""
"GR","Emissions from Rice cultivation","764","Thailand","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","11932320","A","Official figure",""
"GR","Emissions from Rice cultivation","764","Thailand","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","10401653","A","Official figure",""
"GR","Emissions from Rice cultivation","626","Timor-Leste","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","36548","A","Official figure",""
"GR","Emissions from Rice cultivation","626","Timor-Leste","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","20719","I","Imputed value",""
"GR","Emissions from Rice cultivation","704","Viet Nam","5312","Area harvested","0113","Rice","2010","2010","3050","FAO TIER 1","ha","7489400","A","Official figure",""
"GR","Emissions from Rice cultivation","704","Viet Nam","5312","Area harvested","0113","Rice","2020","2020","3050","FAO TIER 1","ha","7222618","A","Official figure",""
